a1|aH aH
a2|aL aH
a5|aM aM
ai1|aH ehH
ai2|aL ehH
ai3|aL ehL
ai4|aH ehL
an1|aH nnH
an2|aL nnH
an3|aL nnL
an4|aH nnL
ang1|aaH ngH
ang2|aaL ngH
ang3|aaL ngL
ang4|aaH ngL
ao1|aaH oH
ao2|aaL oH
ao3|aaL oL
ao4|aaH oL
ba1|B aH aH
ba2|B aL aH
ba3|B aL aL
ba4|B aH aL
ba5|B aM aM
bai1|B aH ehH
bai2|B aL ehH
bai3|B aL ehL
bai4|B aH ehL
ban1|B aH nnH
ban3|B aL nnL
ban4|B aH nnL
bang1|B aaH ngH
bang3|B aaL ngL
bang4|B aaH ngL
bao1|B aaH oH
bao2|B aaL oH
bao3|B aaL oL
bao4|B aaH oL
bei1|B ehH iH
bei3|B ehL iL
bei4|B ehH iL
ben1|B elH nnH
ben3|B elL nnL
ben4|B elH nnL
beng1|B elH ngH
beng2|B elL ngH
beng3|B elL ngL
beng4|B elH ngL
bi1|bi iH iH
bi2|bi iL iH
bi3|bi iL iL
bi4|bi iH iL
bian1|bi aH nnH
bian3|bi aL nnL
bian4|bi aH nnL
biao1|bi aaH oH
biao3|bi aaL oL
biao4|bi aaH oL
bie1|bi ehH ehH
bie2|bi ehL ehH
bie3|bi ehL ehL
bie4|bi ehH ehL
bin1|bi iH nnH
bin4|bi iH nnL
bing1|bi elH ngH
bing3|bi elL ngL
bing4|bi elH ngL
bo1|bu uH oH
bo2|bu uL oH
bo3|bu uL oL
bo4|bu uH oL
bo5|bu uM oM
bu1|bu uH uH
bu2|bu uL uH
bu3|bu uL uL
bu4|bu uH uL
ca1|C aH aH
ca3|C aL aL
ca4|C aH aL
cai1|C aH ehH
cai2|C aL ehH
cai3|C aL ehL
cai4|C aH ehL
can1|C aH nnH
can2|C aL nnH
can3|C aL nnL
can4|C aH nnL
cang1|C aaH ngH
cang2|C aaL ngH
cang4|C aaH ngL
cao1|C aaH oH
cao2|C aaL oH
cao3|C aaL oL
cao4|C aaH oL
ce4|C elH elL
cen1|C elH nnH
cen2|C elL nnH
ceng1|C elH ngH
ceng2|C elL ngH
ceng4|C elH ngL
cha1|Ch aH aH
cha2|Ch aL aH
cha3|Ch aL aL
cha4|Ch aH aL
chai1|Ch aH ehH
chai2|Ch aL ehH
chai3|Ch aL ehL
chai4|Ch aH ehL
